Pair.Name,Ligand.ApprovedSymbol,Ligand.Name,Receptor.ApprovedSymbol,Receptor.Name
COL2A1_TNFRSF10A,COL2A1,"collagen, type II, alpha 1",TNFRSF10A,"tumor necrosis factor receptor superfamily, member 10a"
COL3A1_DDR1,COL3A1,"collagen, type III, alpha 1",DDR1,discoidin domain receptor tyrosine kinase 1
COL3A1_DDR2,COL3A1,"collagen, type III, alpha 1",DDR2,discoidin domain receptor tyrosine kinase 2
COL3A1_ITGA2,COL3A1,"collagen, type III, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL3A1_ITGB1,COL3A1,"collagen, type III, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL3A1_MAG,COL3A1,"collagen, type III, alpha 1",MAG,myelin associated glycoprotein
COL4A1_CD47,COL4A1,"collagen, type IV, alpha 1",CD47,CD47 molecule
COL4A1_CD93,COL4A1,"collagen, type IV, alpha 1",CD93,CD93 molecule
COL4A1_ITGA1,COL4A1,"collagen, type IV, alpha 1",ITGA1,"integrin, alpha 1"
COL4A1_ITGA2,COL4A1,"collagen, type IV, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL4A1_ITGAV,COL4A1,"collagen, type IV, alpha 1",ITGAV,"integrin, alpha V"
COL4A1_ITGB1,COL4A1,"collagen, type IV, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL4A1_ITGB8,COL4A1,"collagen, type IV, alpha 1",ITGB8,"integrin, beta 8"
COL4A2_CD93,COL4A2,"collagen, type IV, alpha 2",CD93,CD93 molecule
COL4A3_CD47,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",CD47,CD47 molecule
COL4A3_CD93,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",CD93,CD93 molecule
COL4A3_ITGA1,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGA1,"integrin, alpha 1"
COL4A3_ITGA2,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL4A3_ITGAV,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGAV,"integrin, alpha V"
COL4A3_ITGB1,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL4A4_CD47,COL4A4,"collagen, type IV, alpha 4",CD47,CD47 molecule
COL4A4_CD93,COL4A4,"collagen, type IV, alpha 4",CD93,CD93 molecule
COL4A4_ITGA1,COL4A4,"collagen, type IV, alpha 4",ITGA1,"integrin, alpha 1"
COL4A4_ITGA2,COL4A4,"collagen, type IV, alpha 4",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL4A4_ITGAV,COL4A4,"collagen, type IV, alpha 4",ITGAV,"integrin, alpha V"
COL4A4_ITGB1,COL4A4,"collagen, type IV, alpha 4",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL4A5_CD47,COL4A5,"collagen, type IV, alpha 5",CD47,CD47 molecule
COL4A5_CD93,COL4A5,"collagen, type IV, alpha 5",CD93,CD93 molecule
COL4A5_ITGA1,COL4A5,"collagen, type IV, alpha 5",ITGA1,"integrin, alpha 1"
COL4A5_ITGA2,COL4A5,"collagen, type IV, alpha 5",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL4A5_ITGAV,COL4A5,"collagen, type IV, alpha 5",ITGAV,"integrin, alpha V"
COL4A5_ITGB1,COL4A5,"collagen, type IV, alpha 5",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL4A6_CD47,COL4A6,"collagen, type IV, alpha 6",CD47,CD47 molecule
COL4A6_CD93,COL4A6,"collagen, type IV, alpha 6",CD93,CD93 molecule
COL4A6_ITGA1,COL4A6,"collagen, type IV, alpha 6",ITGA1,"integrin, alpha 1"
COL4A6_ITGA2,COL4A6,"collagen, type IV, alpha 6",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL4A6_ITGAV,COL4A6,"collagen, type IV, alpha 6",ITGAV,"integrin, alpha V"
COL4A6_ITGB1,COL4A6,"collagen, type IV, alpha 6",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL5A1_ITGA1,COL5A1,"collagen, type V, alpha 1",ITGA1,"integrin, alpha 1"
COL5A1_ITGB1,COL5A1,"collagen, type V, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL5A1_SDC3,COL5A1,"collagen, type V, alpha 1",SDC3,syndecan 3
COL5A2_DDR1,COL5A2,"collagen, type V, alpha 2",DDR1,discoidin domain receptor tyrosine kinase 1
COL5A2_ITGA1,COL5A2,"collagen, type V, alpha 2",ITGA1,"integrin, alpha 1"
COL5A2_ITGB1,COL5A2,"collagen, type V, alpha 2",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL5A3_SDC3,COL5A3,"collagen, type V, alpha 3",SDC3,syndecan 3
COL6A1_ITGA1,COL6A1,"collagen, type VI, alpha 1",ITGA1,"integrin, alpha 1"
COL6A1_ITGA2,COL6A1,"collagen, type VI, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL6A1_ITGA6,COL6A1,"collagen, type VI, alpha 1",ITGA6,"integrin, alpha 6"
COL6A1_ITGB1,COL6A1,"collagen, type VI, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL6A2_ITGA1,COL6A2,"collagen, type VI, alpha 2",ITGA1,"integrin, alpha 1"
COL6A2_ITGA2,COL6A2,"collagen, type VI, alpha 2",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL6A2_ITGB1,COL6A2,"collagen, type VI, alpha 2",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL6A3_ITGA1,COL6A3,"collagen, type VI, alpha 3",ITGA1,"integrin, alpha 1"
COL6A3_ITGA2,COL6A3,"collagen, type VI, alpha 3",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL6A3_ITGB1,COL6A3,"collagen, type VI, alpha 3",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL7A1_ITGA2,COL7A1,"collagen, type VII, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL7A1_ITGB1,COL7A1,"collagen, type VII, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
COL8A1_ITGA1,COL8A1,"collagen, type VIII, alpha 1",ITGA1,"integrin, alpha 1"
COL8A1_ITGA2,COL8A1,"collagen, type VIII, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
COL9A1_MAG,COL9A1,"collagen, type IX, alpha 1",MAG,myelin associated glycoprotein
COL9A2_MAG,COL9A2,"collagen, type IX, alpha 2",MAG,myelin associated glycoprotein
COL9A3_MAG,COL9A3,"collagen, type IX, alpha 3",MAG,myelin associated glycoprotein
COLQ_MUSK,COLQ,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,MUSK,"muscle, skeletal, receptor tyrosine kinase"
CORT_GHSR,CORT,cortistatin,GHSR,growth hormone secretagogue receptor
CORT_MRGPRX2,CORT,cortistatin,MRGPRX2,"MAS-related GPR, member X2"
CORT_SSTR1,CORT,cortistatin,SSTR1,somatostatin receptor 1
CORT_SSTR2,CORT,cortistatin,SSTR2,somatostatin receptor 2
CORT_SSTR3,CORT,cortistatin,SSTR3,somatostatin receptor 3
CORT_SSTR4,CORT,cortistatin,SSTR4,somatostatin receptor 4
CORT_SSTR5,CORT,cortistatin,SSTR5,somatostatin receptor 5
CPAMD8_SCTR,CPAMD8,"C3 and PZP-like, alpha-2-macroglobulin domain containing 8",SCTR,secretin receptor
CP_SLC40A1,CP,ceruloplasmin (ferroxidase),SLC40A1,"solute carrier family 40 (iron-regulated transporter), member 1"
CRH_CRHR1,CRH,corticotropin releasing hormone,CRHR1,corticotropin releasing hormone receptor 1
CRH_CRHR2,CRH,corticotropin releasing hormone,CRHR2,corticotropin releasing hormone receptor 2
CRH_MC2R,CRH,corticotropin releasing hormone,MC2R,melanocortin 2 receptor (adrenocorticotropic hormone)
CRP_OLR1,CRP,"C-reactive protein, pentraxin-related",OLR1,oxidized low density lipoprotein (lectin-like) receptor 1
CSF1_CSF1R,CSF1,colony stimulating factor 1 (macrophage),CSF1R,colony stimulating factor 1 receptor
CSF2_CSF1R,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF1R,colony stimulating factor 1 receptor
CSF2_CSF2RA,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF2RA,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"
CSF2_CSF2RB,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
CSF2_CSF3R,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF3R,colony stimulating factor 3 receptor (granulocyte)
CSF2_IL3RA,CSF2,colony stimulating factor 2 (granulocyte-macrophage),IL3RA,"interleukin 3 receptor, alpha (low affinity)"
CSF2_ITGA9,CSF2,colony stimulating factor 2 (granulocyte-macrophage),ITGA9,"integrin, alpha 9"
CSF2_ITGB1,CSF2,colony stimulating factor 2 (granulocyte-macrophage),ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
CSF2_SDC2,CSF2,colony stimulating factor 2 (granulocyte-macrophage),SDC2,syndecan 2
CSF3_CSF1R,CSF3,colony stimulating factor 3 (granulocyte),CSF1R,colony stimulating factor 1 receptor
CSF3_CSF3R,CSF3,colony stimulating factor 3 (granulocyte),CSF3R,colony stimulating factor 3 receptor (granulocyte)
CSH1_PRLR,CSH1,chorionic somatomammotropin hormone 1 (placental lactogen),PRLR,prolactin receptor
CSH2_PRLR,CSH2,chorionic somatomammotropin hormone 2,PRLR,prolactin receptor
CSHL1_GHR,CSHL1,chorionic somatomammotropin hormone-like 1,GHR,growth hormone receptor
CSHL1_PRLR,CSHL1,chorionic somatomammotropin hormone-like 1,PRLR,prolactin receptor
CTF1_IL6ST,CTF1,cardiotrophin 1,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)"
CTF1_LIFR,CTF1,cardiotrophin 1,LIFR,leukemia inhibitory factor receptor alpha
CTGF_ERBB4,CTGF,connective tissue growth factor,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4
CTGF_ITGA5,CTGF,connective tissue growth factor,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
CTGF_ITGAM,CTGF,connective tissue growth factor,ITGAM,"integrin, alpha M (complement component 3 receptor 3 subunit)"
CTGF_ITGB2,CTGF,connective tissue growth factor,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
CTGF_LRP1,CTGF,connective tissue growth factor,LRP1,low density lipoprotein receptor-related protein 1
CTGF_LRP6,CTGF,connective tissue growth factor,LRP6,low density lipoprotein receptor-related protein 6
CTGF_NTRK1,CTGF,connective tissue growth factor,NTRK1,"neurotrophic tyrosine kinase, receptor, type 1"
CTHRC1_FZD3,CTHRC1,collagen triple helix repeat containing 1,FZD3,frizzled class receptor 3
CTHRC1_FZD5,CTHRC1,collagen triple helix repeat containing 1,FZD5,frizzled class receptor 5
CTHRC1_FZD6,CTHRC1,collagen triple helix repeat containing 1,FZD6,frizzled class receptor 6
CUBN_LRP2,CUBN,cubilin (intrinsic factor-cobalamin receptor),LRP2,low density lipoprotein receptor-related protein 2
CX3CL1_CX3CR1,CX3CL1,chemokine (C-X3-C motif) ligand 1,CX3CR1,chemokine (C-X3-C motif) receptor 1
CXCL10_CCR3,CXCL10,chemokine (C-X-C motif) ligand 10,CCR3,chemokine (C-C motif) receptor 3
CXCL10_CXCR3,CXCL10,chemokine (C-X-C motif) ligand 10,CXCR3,chemokine (C-X-C motif) receptor 3
CXCL10_SDC4,CXCL10,chemokine (C-X-C motif) ligand 10,SDC4,syndecan 4
CXCL11_ACKR3,CXCL11,chemokine (C-X-C motif) ligand 11,ACKR3,atypical chemokine receptor 3
CXCL11_CCR3,CXCL11,chemokine (C-X-C motif) ligand 11,CCR3,chemokine (C-C motif) receptor 3
CXCL11_CXCR3,CXCL11,chemokine (C-X-C motif) ligand 11,CXCR3,chemokine (C-X-C motif) receptor 3
CXCL12_ACKR3,CXCL12,chemokine (C-X-C motif) ligand 12,ACKR3,atypical chemokine receptor 3
CXCL12_CCR4,CXCL12,chemokine (C-X-C motif) ligand 12,CCR4,chemokine (C-C motif) receptor 4
CXCL12_CD4,CXCL12,chemokine (C-X-C motif) ligand 12,CD4,CD4 molecule
CXCL12_CXCR3,CXCL12,chemokine (C-X-C motif) ligand 12,CXCR3,chemokine (C-X-C motif) receptor 3
CXCL12_CXCR4,CXCL12,chemokine (C-X-C motif) ligand 12,CXCR4,chemokine (C-X-C motif) receptor 4
CXCL12_ITGB1,CXCL12,chemokine (C-X-C motif) ligand 12,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
CXCL12_SDC4,CXCL12,chemokine (C-X-C motif) ligand 12,SDC4,syndecan 4
CXCL13_ACKR4,CXCL13,chemokine (C-X-C motif) ligand 13,ACKR4,atypical chemokine receptor 4
CXCL13_CCR10,CXCL13,chemokine (C-X-C motif) ligand 13,CCR10,chemokine (C-C motif) receptor 10
CXCL13_CXCR3,CXCL13,chemokine (C-X-C motif) ligand 13,CXCR3,chemokine (C-X-C motif) receptor 3
CXCL13_CXCR5,CXCL13,chemokine (C-X-C motif) ligand 13,CXCR5,chemokine (C-X-C motif) receptor 5
CXCL13_HTR2A,CXCL13,chemokine (C-X-C motif) ligand 13,HTR2A,"5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled"
CXCL13_OPRD1,CXCL13,chemokine (C-X-C motif) ligand 13,OPRD1,"opioid receptor, delta 1"
CXCL16_CXCR6,CXCL16,chemokine (C-X-C motif) ligand 16,CXCR6,chemokine (C-X-C motif) receptor 6
CXCL1_CXCR1,CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",CXCR1,chemokine (C-X-C motif) receptor 1
CXCL1_CXCR2,CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",CXCR2,chemokine (C-X-C motif) receptor 2
CXCL1_DARC,CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)",DARC,"Duffy blood group, atypical chemokine receptor"
CXCL2_CXCR1,CXCL2,chemokine (C-X-C motif) ligand 2,CXCR1,chemokine (C-X-C motif) receptor 1
CXCL2_CXCR2,CXCL2,chemokine (C-X-C motif) ligand 2,CXCR2,chemokine (C-X-C motif) receptor 2
CXCL2_XCR1,CXCL2,chemokine (C-X-C motif) ligand 2,XCR1,chemokine (C motif) receptor 1
CXCL3_CXCR1,CXCL3,chemokine (C-X-C motif) ligand 3,CXCR1,chemokine (C-X-C motif) receptor 1
CXCL3_CXCR2,CXCL3,chemokine (C-X-C motif) ligand 3,CXCR2,chemokine (C-X-C motif) receptor 2
CXCL5_CXCR1,CXCL5,chemokine (C-X-C motif) ligand 5,CXCR1,chemokine (C-X-C motif) receptor 1
CXCL5_CXCR2,CXCL5,chemokine (C-X-C motif) ligand 5,CXCR2,chemokine (C-X-C motif) receptor 2
CXCL5_DARC,CXCL5,chemokine (C-X-C motif) ligand 5,DARC,"Duffy blood group, atypical chemokine receptor"
CXCL6_CXCR1,CXCL6,chemokine (C-X-C motif) ligand 6,CXCR1,chemokine (C-X-C motif) receptor 1
CXCL6_CXCR2,CXCL6,chemokine (C-X-C motif) ligand 6,CXCR2,chemokine (C-X-C motif) receptor 2
CXCL9_CCR3,CXCL9,chemokine (C-X-C motif) ligand 9,CCR3,chemokine (C-C motif) receptor 3
CXCL9_CXCR3,CXCL9,chemokine (C-X-C motif) ligand 9,CXCR3,chemokine (C-X-C motif) receptor 3
CYR61_CAV1,CYR61,"cysteine-rich, angiogenic inducer, 61",CAV1,"caveolin 1, caveolae protein, 22kDa"
CYR61_ITGA5,CYR61,"cysteine-rich, angiogenic inducer, 61",ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
CYR61_ITGAM,CYR61,"cysteine-rich, angiogenic inducer, 61",ITGAM,"integrin, alpha M (complement component 3 receptor 3 subunit)"
CYR61_ITGAV,CYR61,"cysteine-rich, angiogenic inducer, 61",ITGAV,"integrin, alpha V"
CYR61_ITGB2,CYR61,"cysteine-rich, angiogenic inducer, 61",ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
CYR61_ITGB3,CYR61,"cysteine-rich, angiogenic inducer, 61",ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
CYR61_ITGB5,CYR61,"cysteine-rich, angiogenic inducer, 61",ITGB5,"integrin, beta 5"
DCN_EGFR,DCN,decorin,EGFR,epidermal growth factor receptor
DCN_ERBB4,DCN,decorin,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4
DCN_MET,DCN,decorin,MET,met proto-oncogene
DEFB103A_CCR6,DEFB103A,"defensin, beta 103A",CCR6,chemokine (C-C motif) receptor 6
DEFB103B_CCR2,DEFB103B,"defensin, beta 103B",CCR2,chemokine (C-C motif) receptor 2
DEFB103B_CCR6,DEFB103B,"defensin, beta 103B",CCR6,chemokine (C-C motif) receptor 6
DEFB1_CCR6,DEFB1,"defensin, beta 1",CCR6,chemokine (C-C motif) receptor 6
DEFB4A_CCR6,DEFB4A,"defensin, beta 4A",CCR6,chemokine (C-C motif) receptor 6
DEFB4A_TLR4,DEFB4A,"defensin, beta 4A",TLR4,toll-like receptor 4
DEFB4B_CCR6,DEFB4B,"defensin, beta 4B",CCR6,chemokine (C-C motif) receptor 6
DHH_BOC,DHH,desert hedgehog,BOC,"BOC cell adhesion associated, oncogene regulated"
DHH_CDON,DHH,desert hedgehog,CDON,"cell adhesion associated, oncogene regulated"
DHH_HHIP,DHH,desert hedgehog,HHIP,hedgehog interacting protein
DHH_PTCH1,DHH,desert hedgehog,PTCH1,patched 1
DHH_PTCH2,DHH,desert hedgehog,PTCH2,patched 2
DKK1_KREMEN1,DKK1,dickkopf WNT signaling pathway inhibitor 1,KREMEN1,kringle containing transmembrane protein 1
DKK1_KREMEN2,DKK1,dickkopf WNT signaling pathway inhibitor 1,KREMEN2,kringle containing transmembrane protein 2
DKK1_LRP5,DKK1,dickkopf WNT signaling pathway inhibitor 1,LRP5,low density lipoprotein receptor-related protein 5
DKK1_LRP6,DKK1,dickkopf WNT signaling pathway inhibitor 1,LRP6,low density lipoprotein receptor-related protein 6
DKK2_KREMEN2,DKK2,dickkopf WNT signaling pathway inhibitor 2,KREMEN2,kringle containing transmembrane protein 2
DKK2_LRP6,DKK2,dickkopf WNT signaling pathway inhibitor 2,LRP6,low density lipoprotein receptor-related protein 6
DLK1_NOTCH1,DLK1,delta-like 1 homolog (Drosophila),NOTCH1,notch 1
DLK1_NOTCH2,DLK1,delta-like 1 homolog (Drosophila),NOTCH2,notch 2
DLK1_NOTCH3,DLK1,delta-like 1 homolog (Drosophila),NOTCH3,notch 3
DLK1_NOTCH4,DLK1,delta-like 1 homolog (Drosophila),NOTCH4,notch 4
DLK2_NOTCH1,DLK2,delta-like 2 homolog (Drosophila),NOTCH1,notch 1
DLL1_NOTCH1,DLL1,delta-like 1 (Drosophila),NOTCH1,notch 1
DLL1_NOTCH2,DLL1,delta-like 1 (Drosophila),NOTCH2,notch 2
DLL1_NOTCH3,DLL1,delta-like 1 (Drosophila),NOTCH3,notch 3
DLL1_NOTCH4,DLL1,delta-like 1 (Drosophila),NOTCH4,notch 4
DLL3_NOTCH1,DLL3,delta-like 3 (Drosophila),NOTCH1,notch 1
DLL3_NOTCH2,DLL3,delta-like 3 (Drosophila),NOTCH2,notch 2
DLL3_NOTCH3,DLL3,delta-like 3 (Drosophila),NOTCH3,notch 3
DLL3_NOTCH4,DLL3,delta-like 3 (Drosophila),NOTCH4,notch 4
DLL4_NOTCH1,DLL4,delta-like 4 (Drosophila),NOTCH1,notch 1
DLL4_NOTCH2,DLL4,delta-like 4 (Drosophila),NOTCH2,notch 2
DLL4_NOTCH3,DLL4,delta-like 4 (Drosophila),NOTCH3,notch 3
DLL4_NOTCH4,DLL4,delta-like 4 (Drosophila),NOTCH4,notch 4
DSCAM_DCC,DSCAM,Down syndrome cell adhesion molecule,DCC,deleted in colorectal carcinoma
DUSP18_CD151,DUSP18,dual specificity phosphatase 18,CD151,CD151 molecule (Raph blood group)
DUSP18_ITGA1,DUSP18,dual specificity phosphatase 18,ITGA1,"integrin, alpha 1"
DUSP18_ITGA2,DUSP18,dual specificity phosphatase 18,ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)"
DUSP18_ITGA3,DUSP18,dual specificity phosphatase 18,ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"
DUSP18_ITGA6,DUSP18,dual specificity phosphatase 18,ITGA6,"integrin, alpha 6"
DUSP18_ITGA7,DUSP18,dual specificity phosphatase 18,ITGA7,"integrin, alpha 7"
DUSP18_ITGB1,DUSP18,dual specificity phosphatase 18,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
DUSP18_ITGB4,DUSP18,dual specificity phosphatase 18,ITGB4,"integrin, beta 4"
DUSP18_RPSA,DUSP18,dual specificity phosphatase 18,RPSA,ribosomal protein SA
EBI3_IL27RA,EBI3,Epstein-Barr virus induced 3,IL27RA,"interleukin 27 receptor, alpha"
EBI3_IL6ST,EBI3,Epstein-Barr virus induced 3,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)"
ECM1_CACHD1,ECM1,extracellular matrix protein 1,CACHD1,cache domain containing 1
EDA_EDA2R,EDA,ectodysplasin A,EDA2R,ectodysplasin A2 receptor
EDA_EDAR,EDA,ectodysplasin A,EDAR,ectodysplasin A receptor
EDIL3_ITGAV,EDIL3,EGF-like repeats and discoidin I-like domains 3,ITGAV,"integrin, alpha V"
EDIL3_ITGB5,EDIL3,EGF-like repeats and discoidin I-like domains 3,ITGB5,"integrin, beta 5"
EDN1_EDNRA,EDN1,endothelin 1,EDNRA,endothelin receptor type A
EDN1_EDNRB,EDN1,endothelin 1,EDNRB,endothelin receptor type B
EDN1_ELTD1,EDN1,endothelin 1,ELTD1,"EGF, latrophilin and seven transmembrane domain containing 1"
EDN1_KEL,EDN1,endothelin 1,KEL,"Kell blood group, metallo-endopeptidase"
EDN2_EDNRA,EDN2,endothelin 2,EDNRA,endothelin receptor type A
EDN2_EDNRB,EDN2,endothelin 2,EDNRB,endothelin receptor type B
EDN2_KEL,EDN2,endothelin 2,KEL,"Kell blood group, metallo-endopeptidase"
EDN3_EDNRA,EDN3,endothelin 3,EDNRA,endothelin receptor type A
EDN3_EDNRB,EDN3,endothelin 3,EDNRB,endothelin receptor type B
EDN3_KEL,EDN3,endothelin 3,KEL,"Kell blood group, metallo-endopeptidase"
EFEMP1_EGFR,EFEMP1,EGF containing fibulin-like extracellular matrix protein 1,EGFR,epidermal growth factor receptor
EFEMP2_AQP1,EFEMP2,EGF containing fibulin-like extracellular matrix protein 2,AQP1,aquaporin 1 (Colton blood group)
EFEMP2_CATSPER1,EFEMP2,EGF containing fibulin-like extracellular matrix protein 2,CATSPER1,"cation channel, sperm associated 1"
EFEMP2_LINGO1,EFEMP2,EGF containing fibulin-like extracellular matrix protein 2,LINGO1,leucine rich repeat and Ig domain containing 1
EFEMP2_PLSCR4,EFEMP2,EGF containing fibulin-like extracellular matrix protein 2,PLSCR4,phospholipid scramblase 4
EFNA1_EPHA1,EFNA1,ephrin-A1,EPHA1,EPH receptor A1
EFNA1_EPHA2,EFNA1,ephrin-A1,EPHA2,EPH receptor A2
EFNA1_EPHA3,EFNA1,ephrin-A1,EPHA3,EPH receptor A3
EFNA1_EPHA4,EFNA1,ephrin-A1,EPHA4,EPH receptor A4
EFNA1_EPHA5,EFNA1,ephrin-A1,EPHA5,EPH receptor A5
EFNA1_EPHA6,EFNA1,ephrin-A1,EPHA6,EPH receptor A6
EFNA1_EPHA7,EFNA1,ephrin-A1,EPHA7,EPH receptor A7
EFNA1_EPHA8,EFNA1,ephrin-A1,EPHA8,EPH receptor A8
EFNA1_EPHB1,EFNA1,ephrin-A1,EPHB1,EPH receptor B1
EFNA1_EPHB6,EFNA1,ephrin-A1,EPHB6,EPH receptor B6
EFNA2_EPHA1,EFNA2,ephrin-A2,EPHA1,EPH receptor A1
EFNA2_EPHA2,EFNA2,ephrin-A2,EPHA2,EPH receptor A2
EFNA2_EPHA3,EFNA2,ephrin-A2,EPHA3,EPH receptor A3
EFNA2_EPHA4,EFNA2,ephrin-A2,EPHA4,EPH receptor A4
EFNA2_EPHA5,EFNA2,ephrin-A2,EPHA5,EPH receptor A5
EFNA2_EPHA6,EFNA2,ephrin-A2,EPHA6,EPH receptor A6
EFNA2_EPHA7,EFNA2,ephrin-A2,EPHA7,EPH receptor A7
EFNA2_EPHA8,EFNA2,ephrin-A2,EPHA8,EPH receptor A8
EFNA3_EPHA1,EFNA3,ephrin-A3,EPHA1,EPH receptor A1
EFNA3_EPHA2,EFNA3,ephrin-A3,EPHA2,EPH receptor A2
EFNA3_EPHA3,EFNA3,ephrin-A3,EPHA3,EPH receptor A3
EFNA3_EPHA4,EFNA3,ephrin-A3,EPHA4,EPH receptor A4
EFNA3_EPHA5,EFNA3,ephrin-A3,EPHA5,EPH receptor A5
EFNA3_EPHA6,EFNA3,ephrin-A3,EPHA6,EPH receptor A6
EFNA3_EPHA7,EFNA3,ephrin-A3,EPHA7,EPH receptor A7
EFNA3_EPHA8,EFNA3,ephrin-A3,EPHA8,EPH receptor A8
EFNA3_EPHB1,EFNA3,ephrin-A3,EPHB1,EPH receptor B1
EFNA3_EPHB6,EFNA3,ephrin-A3,EPHB6,EPH receptor B6
EFNA4_EPHA1,EFNA4,ephrin-A4,EPHA1,EPH receptor A1
EFNA4_EPHA2,EFNA4,ephrin-A4,EPHA2,EPH receptor A2
EFNA4_EPHA3,EFNA4,ephrin-A4,EPHA3,EPH receptor A3
EFNA4_EPHA4,EFNA4,ephrin-A4,EPHA4,EPH receptor A4
EFNA4_EPHA5,EFNA4,ephrin-A4,EPHA5,EPH receptor A5
EFNA4_EPHA6,EFNA4,ephrin-A4,EPHA6,EPH receptor A6
EFNA4_EPHA7,EFNA4,ephrin-A4,EPHA7,EPH receptor A7
EFNA4_EPHA8,EFNA4,ephrin-A4,EPHA8,EPH receptor A8
EFNA5_EPHA1,EFNA5,ephrin-A5,EPHA1,EPH receptor A1
